year,ind,prod,ipi,ppi,imports,exports,wages,emp,M3,lagvpfrac,lnlagvp,ind2
2007,311,0.075561588,0.038258712,0.077644011,0.087798906,0.185030359,0.029893121,0.002427919,0.061765516,,13.06275259,31
2008,311,0.084582359,0.015184135,0.091228753,0.141106972,0.224410788,0.019372112,0.001756283,0.035132834,0.109498022,13.11221774,31
2009,311,-0.032281611,-0.009949331,-0.024644359,-0.100905972,-0.099399483,-0.016142066,-0.018202535,-0.081367625,0.114869711,13.21961003,31
2010,311,0.046658984,0.041525747,0.034597801,0.127002746,0.148455976,0.02517278,-0.005936289,0.061022023,0.133898069,13.13752544,31
2011,311,0.077819191,0.023032699,0.086367831,0.19993362,0.141853003,0.036864463,0.009170908,0.123967456,0.126225726,13.2068166,31
2012,311,0.045977949,0.043442558,0.037072497,0.077735117,0.078512032,0.027606057,0.003997696,0.026183083,0.12412348,13.31296008,31
2013,311,0.017765546,0.01557803,0.014193097,-0.024755954,0.058648294,0.018733721,0.004241457,0.026325286,0.125731989,13.33315433,31
2014,311,0.031748838,0.019116117,0.038475649,0.077429122,0.027091709,0.031388886,0.012605225,0.058469664,0.123708917,13.35282888,31
2007,312,0.009756657,-0.008132983,0.030566284,0.08757268,0.085578405,0.029600366,0.007707431,0.051887805,,11.68511049,31
2008,312,-0.037116366,-0.066674133,0.042385552,-0.004546809,0.133308142,0.017911537,0.002821613,0.041283132,0.025866887,11.69812773,31
2009,312,0.02207365,-0.083599024,0.046220058,-0.093706967,-0.091127284,-0.089597009,-0.047194703,-0.026742963,0.024428399,11.67155785,31
2010,312,0.022633201,0.014297305,0.030075779,0.070753151,0.199946249,-0.001313748,-0.024090834,0.049312739,0.031347969,11.68559609,31
2011,312,0.017685347,-0.004108428,0.034473543,0.092650436,0.151505211,0.023662927,-0.000431704,0.098117573,0.028248279,11.70977736,31
2012,312,0.067305003,0.007372754,0.034715851,0.066831281,0.094602544,0.030912275,0.037716076,0.053640846,0.025742117,11.73981164,31
2013,312,0.022366637,-0.0010005,0.019638578,0.047313078,0.170871213,0.012573454,0.043364661,0.012064968,0.026324072,11.79449118,31
2014,312,-0.007691369,0.01212618,0.021995022,0.049311596,0.005704086,0.060624266,0.051632855,0.000647468,0.026669133,11.81840433,31
2007,313,-0.095112489,-0.086756864,0.014604986,0.012939472,-0.033221286,-0.106107596,-0.138770282,-0.066343787,,10.44017423,31
2008,313,-0.110976125,-0.126697653,0.038633698,-0.071350702,-0.004010934,-0.092468095,-0.100737367,-0.086536905,0.006731109,10.34797902,31
2009,313,-0.190454111,-0.17578298,-0.001279943,-0.272524404,-0.244142856,-0.236617679,-0.215828561,-0.207515577,0.005820223,10.23715006,31
2010,313,0.151729178,0.110377907,0.031442906,0.2103916,0.197261719,0.019505506,-0.046813741,0.108900342,0.005923508,10.01937549,31
2011,313,0.061089412,0.016168581,0.11679201,0.114621874,0.146496914,0.026019738,0.007406767,0.044347528,0.006027378,10.16505694,31
2012,313,-0.027977909,0.009157938,-0.01517713,0.038759539,-0.054825972,-0.000123156,-0.019537809,-0.014241882,0.005671666,10.22716606,31
2013,313,0.051832868,-0.018978967,0.002680884,0.031570683,0.027173357,0.012802418,-0.010505916,0.025406115,0.005307004,10.20318643,31
2014,313,0.004368667,0.015381102,0.011596574,0.049274725,0.036028821,0.025901388,0.000258714,0.010778642,0.005553442,10.24931541,31
2007,314,-0.209156831,-0.073861849,0.011182741,0.048671018,0.025570178,0.016263371,-0.010946167,-0.088198911,,10.36283043,31
2008,314,-0.023214236,-0.095410185,0.025385267,-0.028073099,-0.010683309,-0.049477658,-0.062912406,-0.129645023,0.00561157,10.18181089,31
2009,314,-0.2161834,-0.16110816,0.026301726,-0.124634835,-0.137138886,-0.185426693,-0.165429945,-0.224404615,0.005260316,10.13600266,31
2010,314,0.006601798,0.020978406,0.015802378,0.179144367,0.130270959,-0.017791314,-0.064742291,0.027495787,0.005277267,9.903854928,31
2011,314,0.049408258,0.000499875,0.045750136,0.06828695,0.062595938,0.03231768,-0.009491006,0.029346653,0.004688669,9.913893552,31
2012,314,-0.00965372,0.003693172,0.02189663,0.016402822,0.03924594,-0.01031215,-0.020456587,0.042426527,0.004386414,9.970195148,31
2013,314,0.044690679,-0.008536331,0.013623831,0.050775779,0.029658456,0.01781233,-0.014375419,0.070271506,0.004145941,9.955596797,31
2014,314,0.032348388,0.015873349,0.034006368,0.049274124,0.012642672,0.037068314,0.000255508,-0.007383979,0.004302862,9.99417787,31
2007,315,-0.647686233,0.016660441,0.009570522,0.025029523,-0.192940676,-0.034328753,-0.107802535,-0.003061664,,10.08843356,31
2008,315,-0.475820454,-0.052241112,0.009289417,-0.035872413,-0.016942699,-0.023456025,-0.069159942,0.044381761,0.003497238,9.705316463,31
2009,315,0.068345618,-0.199304962,0.010166061,-0.131067672,-0.088701289,-0.196607151,-0.169603435,-0.183650768,0.002592575,9.428463017,31
2010,315,0.064079526,-0.034177452,-0.000344138,0.120925536,0.088411282,-0.021782011,-0.071387202,0.013884224,0.002607653,9.198897216,31
2011,315,-0.032716349,-0.023780529,0.021692049,0.085440037,0.044011336,-0.025454263,-0.044809638,0.086345887,0.002321472,9.210946196,31
2012,315,0.216914579,-0.038013442,0.017948188,-0.011578345,0.027596285,-0.020366642,-0.018883718,0.043822133,0.001980967,9.175268163,31
2013,315,-0.006682918,0.027809701,0.018310784,0.034222996,-0.007736167,-0.032100396,-0.03457818,0.02059449,0.002002572,9.217294763,31
2014,315,0.023852992,0.011829752,0.0108894,0.02910426,-0.0106426,0.027762957,-0.024351187,0.086874979,0.001948213,9.201810077,31
2007,316,-0.167390932,-0.070207895,0.021304073,0.032192337,-0.040398159,-0.047841133,-0.072577368,0.049941454,,8.605080179,31
2008,316,-0.039607887,-0.002402885,0.024660225,0.002377635,-0.037690316,-0.01572752,-0.035789306,-0.100977902,0.001022144,8.454891264,31
2009,316,-0.2088737,-0.199304962,0.002232722,-0.143010664,-0.212266848,-0.153031107,-0.115146466,-0.137402592,0.000948026,8.422437664,31
2010,316,0.188456467,0.092488019,0.015678579,0.188901137,0.26579924,-0.040051499,-0.057297394,-0.021014749,0.000964232,8.204023541,31
2011,316,-0.027115677,0.110109223,0.048717007,0.094260802,0.159955021,0.06684487,0.046918898,0.006664026,0.001010351,8.379042832,31
2012,316,0.066263357,0.017053755,0.022390304,0.064873485,-0.002619694,0.03257363,0.008157917,0.004789987,0.000967871,8.459027059,31
2013,316,0.039501747,0.019900662,0.040659229,0.03616315,0.131304214,0.090062489,0.001227911,0.014343433,0.000880216,8.38763218,31
2014,316,-0.046995805,0.03469124,0.032660561,0.045585885,0.03574767,-0.052592073,-0.025013127,0.033976806,0.000894922,8.423878477,31
2007,321,-0.082610589,-0.103473408,-0.013973594,-0.203353952,0.009558171,-0.061675788,-0.079366219,-0.108827826,,11.47448085,32
2008,321,-0.141485895,-0.157004749,0.003703882,-0.271202081,0.015234333,-0.105036306,-0.109592122,-0.052353539,0.0188514,11.36599345,32
2009,321,-0.316960766,-0.229664768,-0.039026091,-0.36700719,-0.236022131,-0.272388903,-0.246461851,-0.077375736,0.015966024,11.24627448,32
